Teams,Arsenal ,Aston-Villa,Afc Bournemouth,Chelsea,Crystal Palace,Everton,Leicester,Liverpool,Man City,Man United,Newcastle United,Norwich City,Southampton,Stoke City,Sunderland,Swansea City,Tottenham Hotspur,Watford,West Bromwich Albion,West Ham United,,,,,,,,,,,,,,,,,,,,,
Arsenal ,0-0,4-0,2-0,0-1,1-1,2-0,2-1,3-3,2-2,3-2,1-0,1-0,0-0,0-0,0-0,1-2,2-2,4-0,2-0,3-3,,,,,,,,,,,,,,,,,,,,,
Aston-Villa,0-4,0-0,1-2,0-4,1-0,1-3,1-1,1-1,0-4,0-1,0-0,2-0,2-4,1-2,1-3,0-1,0-2,2-3,0-0,0-2,,,,,,,,,,,,,,,,,,,,,
Afc Bournemouth,2-0,1-2,0-0,1-4,2-1,1-2,0-0,1-3,0-4,1-3,3-1,3-0,2-0,1-3,1-1,3-2,0-3,0-0,1-1,1-3,,,,,,,,,,,,,,,,,,,,,
Chelsea,1-0,4-0,4-1,0-0,3-0,3-3,1-1,1-1,0-3,1-1,5-1,2-1,2-1,1-1,2-3,0-1,2-2,0-0,2-2,2-2,,,,,,,,,,,,,,,,,,,,,
Crystal Palace,1-1,0-1,1-2,0-3,0-0,0-0,0-1,1-2,0-4,0-2,0-1,0-1,1-4,2-1,2-2,1-1,1-3,1-2,2-3,2-2,,,,,,,,,,,,,,,,,,,,,
Everton,0-2,3-1,2-1,3-3,0-0,0-0,1-3,0-4,0-0,0-1,3-0,3-0,1-1,3-0,0-3,1-2,1-1,1-1,0-1,2-3,,,,,,,,,,,,,,,,,,,,,
Leicester,1-2,1-1,0-0,1-1,1-0,3-1,0-0,2-0,3-1,1-1,1-0,1-0,1-0,3-0,2-0,4-0,1-0,0-1,2-2,2-2,,,,,,,,,,,,,,,,,,,,,
Liverpool,3-3,1-1,3-1,1-1,2-1,4-0,0-2,0-0,3-0,0-1,2-2,5-4,2-3,4-1,2-2,1-3,1-1,2-0,1-1,0-2,,,,,,,,,,,,,,,,,,,,,
Man City,2-2,4-0,4-0,3-0,4-0,0-0,1-3,0-3,0-0,0-1,1-1,0-0,2-4,4-0,1-0,1-1,1-2,2-1,2-1,2-2,,,,,,,,,,,,,,,,,,,,,
Man United,2-3,1-0,3-1,1-1,2-0,1-0,1-1,1-0,1-0,0-0,3-3,1-0,0-1,3-0,1-2,2-1,0-3,1-0,0-1,2-3,,,,,,,,,,,,,,,,,,,,,
Newcastle United,0-1,0-0,1-3,1-5,1-0,0-3,0-1,2-2,1-1,3-3,0-0,2-3,1-3,0-1,1-1,3-0,5-1,1-2,1-0,2-1,,,,,,,,,,,,,,,,,,,,,
Norwich City,0-1,0-2,0-3,1-2,1-0,0-3,0-1,4-5,0-0,0-1,3-2,0-0,1-0,1-3,0-3,0-1,0-3,4-2,1-0,2-2,,,,,,,,,,,,,,,,,,,,,
Southampton,0-0,4-2,0-2,1-2,4-1,1-1,0-1,3-2,4-2,1-0,3-1,0-1,0-0,2-1,1-1,1-0,2-1,2-0,3-0,1-0,,,,,,,,,,,,,,,,,,,,,
Stoke City,0-0,2-1,3-1,1-1,1-2,0-3,0-3,1-4,0-4,0-3,1-0,3-1,1-2,0-0,1-1,2-2,0-4,2-1,1-2,2-1,,,,,,,,,,,,,,,,,,,,,
Sunderland,0-0,3-1,1-1,3-2,2-2,3-0,0-2,2-2,0-1,2-1,1-1,3-0,1-1,1-1,0-0,4-2,1-4,2-2,0-0,0-1,,,,,,,,,,,,,,,,,,,,,
Swanasea City,2-1,1-0,2-3,1-0,1-1,2-1,0-4,3-1,1-1,1-2,0-3,1-0,0-1,2-2,2-4,0-0,1-2,1-0,1-1,4-1,,,,,,,,,,,,,,,,,,,,,
Tottenham Hotspur,2-2,2-0,3-0,2-2,3-1,1-1,0-1,1-1,2-1,3-0,1-5,3-0,1-2,4-0,4-1,2-1,0-0,1-0,1-1,0-1,,,,,,,,,,,,,,,,,,,,,
