Team,Arsenal,Aston-Villa,Bournemouth,Chelsea,CrystalPalace,Everton,Leicester,Liverpool,ManCity,Man United,Newcastle ,Norwich ,Southampton,Stoke ,Sunderland,Swansea,Spurs,Watford,WestBrom,WestHam,
Arsenal ,0-0,2-0,2-0,0-2,2-1,2-1,5-2,0-0,2-1,3-0,1-0,1-1,0-4,2-0,3-1,3-0,1-1,3-0,1-2,0-2,
Aston-Villa,0-2,0-0,1-0,0-2,1-2,0-4,2-3,2-3,0-0,0-1,1-1,0-2,1-1,0-1,2-2,1-2,1-3,2-3,0-1,1-1,
Bournemouth,0-2,0-1,0-0,1-0,0-0,3-3,1-1,0-1,1-5,2-1,0-1,1-3,0-2,1-2,2-0,2-2,1-5,1-1,2-1,4-3,
Chelsea,2-0,2-0,0-1,0-0,1-2,1-3,1-2,1-3,0-3,0-0,2-2,1-0,1-3,0-1,3-1,2-2,0-0,2-2,3-2,1-2,
CrystalPalace,1-2,2-1,0-0,2-1,0-0,1-1,0-1,2-1,0-1,0-0,5-1,3-1,1-0,2-1,0-1,0-0,0-1,1-0,2-0,3-1,
Everton,1-2,4-0,3-3,3-1,1-1,0-0,2-3,1-1,0-2,0-3,0-1,1-1,3-0,3-4,6-2,0-0,0-0,2-2,3-2,1-1,
Leicester,2-5,3-2,1-1,2-1,1-0,3-2,0-0,0-1,0-0,1-1,3-0,2-1,2-2,2-2,4-2,3-0,1-1,2-1,3-2,2-1,
Liverpool,0-0,3-2,1-0,3-1,1-2,1-1,1-0,0-0,4-1,1-3,2-0,1-1,1-1,1-0,1-0,1-0,0-0,0-3,2-2,0-3,
ManCity,1-2,0-0,5-1,3-0,1-0,2-0,0-0,1-4,0-0,0-0,6-1,2-1,3-1,2-0,4-1,2-1,1-4,2-0,3-0,1-2,
ManUnited,0-3,1-0,1-2,0-0,0-0,3-0,1-1,3-1,0-0,0-0,0-0,2-1,3-2,0-2,3-0,1-2,1-0,2-1,2-0,0-0,
Newcastle United,0-1,1-1,1-0,2-2,1-5,1-0,0-3,0-2,1-6,0-0,0-0,2-6,2-2,0-0,0-3,0-2,2-1,1-2,0-1,0-2,
Norwich,1-1,2-0,3-1,0-1,1-3,1-1,1-2,1-1,1-2,1-2,6-2,0-0,0-3,1-1,3-1,1-0,0-3,0-2,0-1,2-2,
Southampton,4-0,1-1,2-0,3-1,0-1,0-3,2-2,1-1,1-3,2-3,2-2,3-0,0-0,1-0,1-0,3-1,0-2,0-0,0-0,1-2,
Stoke ,0-2,1-0,2-1,1-0,1-2,4-3,2-2,0-1,0-2,2-0,0-0,1-1,0-1,0-0,0-2,1-0,2-2,0-2,0-1,0-0,
Sunderland,1-3,2-2,0-2,1-3,1-0,2-6,2-4,0-1,1-4,0-3,3-0,1-3,0-1,2-0,0-0,1-1,0-1,0-1,0-1,2-2,
Swansea,0-3,2-1,2-2,2-2,0-0,0-0,0-3,0-1,1-2,2-1,2-0,0-1,1-3,0-1,1-1,0-0,2-2,0-1,1-0,0-0,
Spurs,1-1,3-1,5-1,0-0,1-0,0-0,1-1,0-0,4-1,0-1,1-2,3-0,2-0,2-2,1-0,2-2,0-0,2-1,1-1,4-1,
Watford,0-3,3-2,1-1,2-2,0-1,2-2,1-2,3-0,0-2,1-2,2-1,2-0,0-0,2-0,1-0,1-0,1-2,0-0,0-0,2-0,
WestBrom,2-1,1-0,1-2,2-3,0-2,2-3,2-3,2-2,0-3,0-2,1-0,1-0,0-0,1-0,1-0,0-1,1-1,0-0,0-0,1-1,
WestHam,2-0,1-1,3-4,2-1,1-3,1-1,1-2,3-0,2-1,0-0,2-0,2-2,2-1,0-0,2-2,0-0,1-4,0-2,1-1,0-0,
